date,variables,data
2022-10-10T23:00:00Z,ph,8.00446575751813
2022-10-10T23:30:00Z,temperature,26.35
2022-10-10T23:30:00Z,ph,8.00266174639819
2022-10-11T00:00:00Z,temperature,26.33
2022-10-11T00:00:00Z,ph,8.00109606215639
2022-10-11T00:30:00Z,temperature,26.33
2022-10-11T00:30:00Z,ph,7.99510970747168
2022-10-11T01:00:00Z,temperature,26.33
2022-10-11T01:00:00Z,ph,7.99429338637831
2022-10-11T01:30:00Z,temperature,26.3
2022-10-11T01:30:00Z,ph,7.99738647221232
2022-10-11T02:00:00Z,temperature,26.3
2022-10-11T02:00:00Z,ph,7.99575366646695
2022-10-11T02:30:00Z,temperature,26.33
2022-10-11T02:30:00Z,ph,7.99592602856504
2022-10-11T03:00:00Z,temperature,26.35
2022-10-11T03:00:00Z,ph,7.9991245912055
2022-10-11T03:30:00Z,temperature,26.38
2022-10-11T03:30:00Z,ph,7.99739215565017
2022-10-11T04:00:00Z,temperature,26.35
2022-10-11T04:00:00Z,ph,7.99640370259573
2022-10-11T04:30:00Z,temperature,26.35
2022-10-11T04:30:00Z,ph,7.99640370259573
2022-10-11T05:00:00Z,temperature,26.35
2022-10-11T05:00:00Z,ph,7.99640370259573
2022-10-11T05:30:00Z,temperature,26.33
2022-10-11T05:30:00Z,ph,7.99619813559617
2022-10-11T06:00:00Z,temperature,26.33
2022-10-11T06:00:00Z,ph,7.99647024262729
2022-10-11T06:30:00Z,temperature,26.33
2022-10-11T06:30:00Z,ph,7.99674234965841
2022-10-11T07:00:00Z,temperature,26.3
2022-10-11T07:00:00Z,ph,7.99765860650321
2022-10-11T07:30:00Z,temperature,26.3
2022-10-11T07:30:00Z,ph,7.99657006933964
2022-10-11T08:00:00Z,temperature,26.3
2022-10-11T08:00:00Z,ph,7.99520939788517
2022-10-11T08:30:00Z,temperature,26.26
2022-10-11T08:30:00Z,ph,7.99044327788782
2022-10-11T09:00:00Z,temperature,26.16
2022-10-11T09:00:00Z,ph,7.99077417568212
2022-10-11T09:30:00Z,temperature,26.13
2022-10-11T09:30:00Z,ph,7.99032891040686
2022-10-11T10:00:00Z,temperature,26.13
2022-10-11T10:00:00Z,ph,7.99060119927302
2022-10-11T10:30:00Z,temperature,26.16
2022-10-11T10:30:00Z,ph,7.99295226828538
2022-10-11T11:00:00Z,temperature,26.21
2022-10-11T11:00:00Z,ph,7.99088091525511
2022-10-11T11:30:00Z,temperature,26.21
2022-10-11T11:30:00Z,ph,7.98734210591629
2022-10-11T12:00:00Z,temperature,26.28
2022-10-11T12:00:00Z,ph,7.98956066744897
2022-10-11T12:30:00Z,temperature,26.26
2022-10-11T12:30:00Z,ph,7.99017110724207
2022-10-11T13:00:00Z,temperature,26.26
2022-10-11T13:00:00Z,ph,7.98881025401331
2022-10-11T13:30:00Z,temperature,26.26
2022-10-11T13:30:00Z,ph,7.98935459530481
2022-10-11T14:00:00Z,temperature,26.3
2022-10-11T14:00:00Z,ph,7.99139951781265
2022-10-11T14:30:00Z,temperature,26.38
2022-10-11T14:30:00Z,ph,8.00228926463568
2022-10-11T15:00:00Z,temperature,26.38
